Year,1st year,1-4 year,Ratio
1970,13,1,13.8
1971,13,1,13.8
1972,11,1,11.8
1973,10,1,10.4
1974,12,1,12.4
1975,13,1,13.5
1976,8,1,8.3
1977,10,1,10.2
1978,11,1,11.9
1979,5,1,6.0
1980,8,1,8.2
1981,6,0,6.4
1982,7,0,7.4
1983,6,0,6.5
1984,6,0,6.3
1985,6,1,6.2
1986,5,0,5.6
1987,7,0,7.4
1988,6,0,6.6
1989,6,0,5.7
1990,6,0,6.1
1991,6,0,5.8
1992,5,0,5.2
1993,5,0,5.0
1994,3,0,3.4
1995,6,1,6.7
1996,4,0,3.9
1997,6,0,5.7
1998,3,1,3.1
1999,2,0,2.4
2000,3,0,3.2
2001,3,0,2.9
2002,2,0,2.6
2003,2,0,2.5
2004,3,0,2.9
2005,2,0,2.5
2006,1,0,1.6
2007,2,0,2.3
2008,3,0,2.8
2009,2,0,1.9
2010,2,0,2.5
2011,1,0,1.1
2012,1,0,1.2
2013,2,0,2.0
2014,2,0,2.2
2015,2,0,2.3
2016,1,0,1.0
2017,3,0,2.9
